작가,작품수,평균문장길이_자수,문장길이편차_자수,평균문장길이_어절,평균어절길이_글자수,어휘다양도_TTR,명사_TTR,용언_TTR,명사형종결_비율,계사형종결_비율,동사형종결_비율,기타종결_비율,명사_비율,동사_비율,형용사_비율,수식언_비율,조사_비율,어미_비율,일반명사_비율,의존명사_비율,일반동사_비율,보조동사_비율,일반형용사_비율,보조형용사_비율,관형사형어미_비율,명사형어미_비율,주요종결어미
송영,7,24.859770612421553,15.016870923253434,8.600086561350357,2.891587797019734,0.16431006682059499,0.30524987370462975,0.2705987207609674,0.009144350097975179,0.20357065099063792,0.6507729153059003,0.1365120836054866,0.26406998219479555,0.10749477455957002,0.016986828572376496,0.05477588666600312,0.1716045696338321,0.22845957333864172,0.17743273282240138,0.02598896298508123,0.08304303108722338,0.02445174347234664,0.016986828572376496,0.0,0.05379162381252557,0.0035389226192451034,"다/EF, 어요/EF, 어/EF"
안재성,9,24.585699667434127,18.79794911476548,8.203888462522384,2.998143815317423,0.16622551753136172,0.34182204702670477,0.2493297038298049,0.029958137100994243,0.21271585557299844,0.597331240188383,0.15999476713762428,0.24325511274252754,0.11461064499213425,0.01828788673308862,0.05002621919244887,0.15611562663869952,0.2386601992658626,0.18816203460933403,0.028552700576822233,0.08781463030938647,0.02679601468274777,0.01828788673308862,0.0,0.057085736759307816,0.006102517042475092,"다/EF, 어/EF, 어요/EF"
염상섭,1,32.168793742280776,27.3637257111386,10.97653355290243,2.9357529305680794,0.09421679369632124,0.21265822784810126,0.10880017891088002,0.015447991761071062,0.23171987641606592,0.639546858908342,0.11328527291452112,0.22913678918448574,0.12911906411640536,0.014985739377044425,0.054996052143927554,0.1612175510401392,0.2327623712918352,0.1601701606535716,0.030680481477303855,0.10672102354211314,0.022398040574292205,0.014985739377044425,0.0,0.057461447976925185,0.004012310865466733,"다/EF, ᆫ다/EF, 지/EF"
오영수,11,18.827230198419098,14.976876102847665,6.902242297144701,2.73556159759985,0.19675486649287155,0.37561528688713514,0.30514111252070864,0.02413303589535591,0.13141350638815655,0.7412289596430744,0.1032244980734131,0.2280828443909533,0.1254099593801715,0.01417180683014894,0.06181234642194474,0.15654179830499976,0.21235645153201946,0.16841682964746002,0.0214131688481019,0.10479915751466827,0.020610801865503233,0.014161777242866457,1.0029587282483325e-05,0.03181385086003711,0.004593550975377363,"다/EF, ᆫ다/EF, 어요/EF"
오정희,2,30.313488372093023,21.102922853186456,10.685581395348837,2.8373530692207227,0.18853441435209578,0.3500576933868298,0.31060623388208114,0.006628787878787879,0.17140151515151514,0.7196969696969697,0.10227272727272728,0.2530304215218581,0.13079690310471573,0.015601783060921248,0.046453429264096346,0.17846250097755534,0.23512160788300618,0.20485649487761007,0.022249159302416516,0.10733557519355595,0.023461327911159773,0.015601783060921248,0.0,0.06252443888324079,0.004653163369046688,"다/EF, 어요/EF, 어/EF"
원재길,9,28.844575691638173,16.759691268892873,9.936897730805098,2.9028655446411813,0.22252764615755172,0.40097405932692687,0.38793165389137874,0.02145110410094637,0.16277602523659307,0.6738170347003155,0.14195583596214512,0.27459226004432574,0.1157299539694266,0.01311303063022106,0.05204012047508098,0.18981928737853043,0.2215860658066716,0.22185599818150822,0.022589077683696085,0.09777234755924305,0.017957606410183555,0.01311303063022106,0.0,0.05505199749957379,0.004389952832869239,"다/EF, 습니다/EF, ᆫ다/EF"
유홍종,3,29.05599647266314,18.943872919368225,10.287808641975309,2.825403290637226,0.08765984034378045,0.18909146392635923,0.12489254878935911,0.016634604503790878,0.24691637433518163,0.625777978952133,0.11067104220889443,0.27404952326056153,0.10264908614933833,0.01795038067103778,0.04991233758436006,0.19124816869611164,0.21759492758844298,0.1862093810793285,0.028806109950284604,0.07751278910584336,0.02513629704349497,0.01795038067103778,0.0,0.05575809976703413,0.005134856017484449,"다/EF, 어/EF, 야/EF"
윤흥,2,30.59922178988327,20.39059444466591,10.46692607003891,2.9249423491780107,0.19731015735941626,0.36129242770598047,0.3293538047527272,0.00796812749003984,0.2597609561752988,0.6047808764940239,0.12749003984063745,0.2585575177422017,0.11553061561313747,0.01383066512625846,0.06317874236672719,0.17405512460802114,0.2296748638389173,0.1851130549595643,0.03079716124773065,0.091599273807559,0.023931341805578477,0.01383066512625846,0.0,0.05700610661825384,0.005842548275292953,"다/EF, ᆸ니다/EF, 어요/EF"
이광수,2,26.167060105320502,34.766638320828584,9.591065916106773,2.7286360796046276,0.07365549671476847,0.15054765471836604,0.10754379314600207,0.0233094262295082,0.1559938524590164,0.686219262295082,0.13447745901639344,0.24447482533318796,0.11820309158160484,0.015583718453034967,0.05435010526139213,0.17985020171605426,0.2223657393040167,0.16320128829879138,0.025254346750316622,0.10084125240088235,0.017361839180722486,0.015583718453034967,0.0,0.04900735571640652,0.0036736645222978015,"다/EF, 오/EF, ᆫ다/EF"
이문열,3,29.377142857142857,21.30844347354602,9.989142857142857,2.94259057867323,0.18843649416637445,0.36595057418690075,0.3121628397333069,0.011316259678379988,0.26980345443716497,0.6033353186420488,0.11554496724240619,0.2437554647068554,0.10272467329914692,0.017817898244204457,0.06363872675284164,0.16579625209726587,0.2199588817732826,0.18056573008483587,0.029349906656899117,0.08032232908760073,0.022402344211546188,0.017817898244204457,0.0,0.06321336578679963,0.005317012075525203,"다/EF, ᆫ다/EF, 어/EF"
