작가,작품수,의미흐름_유사도,개념유사도_평균,당혹도_PPL,버스트성_어절,버스트성_글자,네트워크밀도,네트워크군집도,네트워크이행성,정보엔트로피,가독성_LIX
오정희,2,0.33705715751818266,0.4816979400381193,744.3492232143477,0.6896177357223693,0.6936914262425938,0.2195918367346939,0.4797325390963728,0.36951395167605483,8.733336855083131,34.79316522675549
원재길,9,0.33990479563883763,0.4812192823482945,806.6677383922143,0.5430873838147673,0.5346689523083836,0.18938775510204078,0.49558917766354693,0.35847157488135534,8.490798531962252,36.73765399755722
유홍종,3,0.37519499849352606,0.49032423671181863,794.2710141630731,0.640130315158174,0.6552557334787492,0.5635374149659863,0.6806520837429573,0.6506654880984151,8.77113939080625,33.90191094955814
윤흥,2,0.3607805721985382,0.5139317430619934,1401.3484376500023,0.6601821220308669,0.6585656736489562,0.23795918367346938,0.4837722041916646,0.3904411634641344,8.874167483429806,37.85447324962831
이광수,2,0.41219566694560206,0.5500767195182852,1421.889645588948,1.2899693498428046,1.2688627754818844,0.6040816326530611,0.7531931851420393,0.720416308589508,8.6855226419144,29.352131241119753
이문열,3,0.3760326237563086,0.5476605653796249,5084.787351830984,0.6739912564666365,0.6733418289859312,0.21931972789115647,0.48601019500050685,0.3879670148016654,8.66161577615461,35.82716049139921
이범선,5,0.33389163959831547,0.48894673465276633,9731.962363133815,0.8335992140218558,0.8161883676815973,0.17420408163265305,0.48634204871002773,0.43127026127859597,8.313818956880436,28.42298448009418
이인성,3,0.3722955664711896,0.4948147344473319,5434.033368762081,1.68544648429825,1.728740496392047,0.3039455782312925,0.588253306198009,0.5425529924448695,8.538899858708229,33.36849083345692
이청준,4,0.3958326563996162,0.5329972943111442,1583.9456716087802,0.6313771062194278,0.6276282404462379,0.34346938775510205,0.5785091185747762,0.4787090028216251,8.612378440770527,33.901729754878296
이태준,19,0.3905959014957013,0.5624658058372572,24550.451107520203,0.9037224489609103,0.9196938029260482,0.1628786251342642,0.5362959839128201,0.4147861907408692,8.518070106408707,33.37561116686593
이혜경,8,0.34205459676705674,0.48806836914662377,794.3710480546729,0.7111565889182889,0.7114641129827681,0.16408163265306122,0.4606980338031889,0.345196428535838,8.732455270353785,37.440756199473185
이호철,8,0.39736174897172666,0.5595184101791713,1496.5222562491354,1.0403895506287488,1.0506995320629295,0.3560204081632653,0.6180262935883368,0.5462412742527071,8.877077027711232,41.88852601814338
이효석,3,0.3683293637804188,0.5401914324773881,1076.4709835085819,0.6129413315087142,0.6131826094440779,0.12598639455782312,0.49659003469297586,0.37652968365241585,8.27751410141065,34.359282376524625
전상국,2,0.3357746641095072,0.4896968110830985,1465.5100072293521,0.7286520631490568,0.7356607939272621,0.20081632653061224,0.47520416680636746,0.35437265270693963,8.472066382377609,32.020239755701915
정종명,6,0.3370235542679241,0.4890306370338949,681.6804980010348,0.7355052111345693,0.7521220276153427,0.36000000000000004,0.5662872198995497,0.48832579108483953,8.841947863139323,35.57338784340255
조선작,2,0.36682689058310813,0.5326860992271205,1433.058191899578,0.6632061578351578,0.6731021074440695,0.1746938775510204,0.5246518811195433,0.33463666984689766,8.479221230452819,35.505854788262326
차현숙,9,0.3174705081618784,0.4620920934098943,34548.80023286489,0.701491588692124,0.7158364691883415,0.18784580498866216,0.454438882121782,0.3599826603409869,8.477896728373427,29.179433029754804
채만식,6,0.4187672947444798,0.5735535208313317,28291.18165153266,0.9470723783851321,0.9569275990974506,0.22789115646258504,0.5198368432057312,0.448726223464657,8.98622147704223,32.70868746684335
채희윤,8,0.3371432310044427,0.5018741423597249,2518.3586379596914,0.7272574491607925,0.7315370127314857,0.21051020408163268,0.5304289891997767,0.3753398559400456,8.705013415116852,37.234038892556555
최서해,2,0.36036141837149316,0.5219576758395488,25115.705332670703,0.7880680141210825,0.8120985745613047,0.15183673469387754,0.5412441764074116,0.3982870926374499,8.437892929703331,30.008655665758504
최인석,3,0.3465406197167697,0.47003116285323626,1691.207957679294,1.0296030572783437,1.0410565759095007,0.446530612244898,0.6362367165478968,0.5817020460164373,8.72963915312318,36.32068984161355
최인훈,3,0.31890307549821933,0.46174161818129233,7794.851676134235,0.9461870779144945,0.9655301158041804,0.48081632653061224,0.6440645904697567,0.6083226511303155,8.780332942866806,28.586664968225396
최일남,2,0.35069126205429224,0.5089014095565356,14984.49996202825,0.8850456165148191,0.9105468747207965,0.28653061224489795,0.5562004990037865,0.44664704059497984,8.983577258320725,33.084079953838305
한승원,2,0.3483629461688791,0.4922160997458934,1010.6733253253515,0.7690562589979673,0.7656952356803732,0.6914285714285715,0.7832653581983164,0.7614387611518314,8.949631068058835,34.51932565977879
현진건,6,0.37691499944664947,0.5530340537212637,8905.506569533432,0.8010753099635912,0.8000457338395582,0.1420408163265306,0.5524180027869714,0.4121793492562716,8.387849817744595,32.03460729253794
황석영,5,0.36377717388433795,0.5339728289022994,2031.0330002781066,0.8723032889194091,0.8910522968316081,0.4066938775510204,0.5681372609211724,0.526803033418452,9.043100641882296,35.47321902342655
황순원,5,0.39104535655049977,0.5585489406592842,854.8761794138584,0.7203481514186718,0.7094908630531936,0.220734693877551,0.6065289133369649,0.45034607277340993,8.176783960622146,32.62895875128412
